Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
byjjes dïenesje	offentlig tjeneste	offentlig tjänst		Ektie-faaleldahkh damtah byjjes dïenesjh gåhtjoeh.	Fellesgoder kalles ofte offentlige tjenester.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 46	
sïerredidh	skille seg ut, signalisere	skilja sig ut, signalera		Sïerredidh gie datne lea aaj daerpies.	Det å skille seg ut eller signaliser hvem man er,  er også et behov.	verb 	sïerredidh, sïerrede, sïerredi, sïerredamme	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 47	
mejerije	meieri	mejeri				substantiv	mejerije, mejerijese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 47	
mejerije-dorjemasse	meieridrift	mejeriproduktion				sammensatt substantiv av mejerije + dorjemasse	mejerije-dorjemasse, mejerije-dorjemassese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 47	
vaejvies	innviklet	invecklat		Vaejvies tsehkie faalemen jïh tjoemehtimmien gaskem.	Det er et innviklet forhold mellom tilbud og etterspørsel.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 47	
buhtjeme-maskijne	melkemaskin	mjölkmaskin				sammensatt substantiv av buhtjeme + maskijne	buhtjeme-maskijne, buhtjeme-maskijnese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 47	
jaepie-vijne	årgangsvin	årgångsvin				sammensatt substantiv av jaepie + vijne	jaepie-vijne, jaepie-vijnese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 48	
vaarene	godsak, raritet, klenode	godsak, raritet, klenod				substantiv	vaarene, vaarenasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	side 48	
åesteme-faamoe	kjøpekraft	köpkraft				sammensatt substantiv av åesteme av åestedh + faamoe	åesteme-faamoe, åesteme-faamose	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	side 48	
hyjpere-inflasjovne	hyperinflasjon	hyperinflation				sammensatt substantiv av hyjpere + inflasjovne	hyjpere-inflasjovne, hyjpere-inflasjovnese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 48	
sentralebaanhke-åejvie	sentralbanksjef	centralbankchef				sammensatt substantiv av sentrale + baanhke + åejvie	sentralebaanhke-åejvie, sentralebaanhke-åajvan	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 49	
vierhtie-darjome	verdiskaping	???????				sammensatt substantiv av vierhtie + darjome	vierhtie-darjome, vierhtie-darjomasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 50	
teatere-dååjrehtse	teateropplevelse	teaterupplevelse				sammensatt substantiv av teatere + dååjrehtse	teatere-dååjrehtse, teatere-dååjrehtsasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 50	
viejhkiesvoete	svakhet	svaghet		Dennie taalesne stoerre viejhkiesvoete.	Men dette tallet har en stor svakhet.	substantiv av viejhkies + voete	vïejhies-voete, vïejhkies-voetese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 51	
gaajh ræjhkoes	superrik	superrik		Aajnes gaajh ræjhkoes.	Noen få er superrike.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 51	
vaarjoe-bovre	klesbutikk	klädaffär	vaarja-bovre			sammensatt substantiv av vaarjoe + bovre	vaarjoe-bovre, vaarjoe-bovrese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 52	
snæhkerevierhkiesijjie	snekkerverksted	snickarverkstad				sammensatt substantiv av snæhkere + vierhkie + sijjie	snæhkere -vierhkiesijjie, snæhkere -vierhkiesæjjan	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	side 52	
ålja-sïelte	oljeselskap	oljeföretag	åålja-sïelte			sammensatt substantiv av ålja + sïelte	ålja-sïelte, ålja-sïeltese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 52	
vierhtiepaehpere-aajhtere	aksjonær	aktieägare				sammensatt substantiv av vierhtie + paehpere + aajhtere	vierhtiepaehpere-aajhtere, vierhtiepaehper-aajhterasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 52	
gælpome	initiativ	initiativ				substantiv av gælpodh	gælpome, gælpoemasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 52	
byjjes-suerkie	offentlig sektor	offentlig sektor				sammensatt substantiv av byjjes + suerkie	byjjes-suerkie, byjjes-suarkan				Samf 10	Økonomi er mer en penger	Side 52	
privaate-suerkie	privat sektor	privat sektor				sammensatt substantiv av privaate + suerkie	privaate-suerkie, privaate-suarkan				Samf 10	Økonomi er mer en penger	Side 52	
vidtjie	uvennskap	ovänskap				substantiv	vidtjie, vædtjan	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 54	
sïebredahke-ekonomiske	samfunnsøkonomisk	samhällsekonomisk		Sïebredahke-ekonomiske perspektijve lij vihkeles fåantoe evtiedæmman dej voestes staatide.	Samfunnsøkonomiske perspektivet er viktig årsak til framveksten av de første statene.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 54	
evtiedimmie	framvekst	framväxt		Sïebredahke-ekonomiske perspektijve lij vihkeles fåantoe evtiedæmman dej voestes staatijste.	Samfunnsøkonomiske perspektivet er viktig årsak til framveksten av de første statene.	substantiv	evtiedimmie, evtiedæmman	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 54	
rïektesvoete	rettferdighet	rättvisa				substantiv	rïektesvoete, rïektesvoetese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 54	
eahplah sjïdtedehtedh	epledyrking	äppelodling		Göökte baaltegh eahplah sjïdtedehtijægan.	To naboer driver med epledyrking.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 54	
ryökneme-boelhke	regnestykke	räknestycket				substantiv	ryökneme-boelhke, ryökneme-boelhkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 54	
dåaktovre-dïenesje	legetjeneste	läkartjänst				sammensatt substantiv av dåaktovre + dïenesje	dåaktovre-dïenesje, dåaktovre-dïenesjasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 55	
barkoevedtijen-maaksoe	arbeidsgiveravgift	arbetsgivaravgift				sammensatt substantiv av barkoe + vedtijen + maaksoe	barkoevedtijen-maaksoe, barkoevedtijen-maaksose	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 55	
dïeneste-maaksoe	merverdiavgift	mervärdesskatt				sammensatt substantiv av dïeneste + maaksoe	dïeneste-maaksoe, dïeneste-maaksose	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 55	
budsjedte-raeriestimmie	budsjettforslag	budgetförslag				sammensatt substantiv av budsjedte + raeriestimmie	budsjedte-raeriestimmie, budsjedte- raeriestæmman	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 55	
staate--budsjedte	statsbudsjett	statsbudget				sammensatt substantiv av staaten + budsjedte	staaten-budsjedte, staaten-budsjedtese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 55	
ålja-baalhka	oljeinntekt	oljeintäkt	åålja-baalhka			sammensatt substantiv av ålja + baalhka	ålja-baalhka, ålja-baalhkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 55	
skïemtje-baalhka	sykepenger	sjukpengar				sammensatt substantiv av skïemtje + baalhka	skïemtje-baalhka, skïemtje-baalhkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
eejtege-baalhka	foreldrepeng	föräldraersättning				sammensatt substantiv av eejtege + baalhka	eejtege-baalhka, eejtege-baalhkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
beetneh-dåarjege	kontantstøtte	kontantersättning				sammensatt substantiv av beetneh + dåarjege	beetneh-dåarjege, beetneh-dåarjegasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
veasoe-dåarjege	næringsstøtte	näringsstöd				sammensatt substantiv av veasoe + dåarjege	veasoe-dåarjege, veasoe-dåarjegasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
baalhka-maaksoe	lønnsutgift	lönsutgift				sammensatt substantiv av baalhka + maaksoe	baalhka-maaksoe, baalhka-maaksose	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
åtnoe-maaksoe	driftsutgift	driftsutgift				sammensatt substantiv av åtnoe + maaksoe	åtnoe-maaksoe, åtnoe-maaksose	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
barkoe-suerkie	arbeidsetat	arbetsverket				sammensatt substantiv av barkoe + suerkie	barkoe-suerkie, barkoe-suarkan	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
velviestaate	velferdsstat	välfärdsstat				sammensatt substantiv av velvies + staate	velvies-staate, velvies-staatese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
ruevtiegeajnoe-viermie	jernbanenett	järnvägsnät	ruevtiegeajna-viermie			sammensatt substantiv av ruevtie + geajnoe + viermie	ruevtiegeajnoe-viermie, ruevtiegeajnoe-vearman	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
rïjhken-geajnoeviermie	riksveinett	riksvägnät				sammensatt substantiv av rïjhken + geajnoe + viermie	rïjhken-geajnoeviermie, rïjhken-geajnoevearman	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	side 56	
sjïere-dåehkide	enkeltpost	enskilda poster		Dah sjïere-doehkide juakasovvin.	De ble fordelt på enkeltposter.	sammensatt substantiv av tjietjele + dåehkie	tjietjele-dåehkie, tjietjele-dåahkan	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
biejjie-dåarjege	dagpenge	dagersättning				sammensatt substantiv av biejjie + dåarjege	biejjie-dåarjege, biejjie-dåarjegasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
evtiedimmie-dåarjege	utviklingshjelp	utvecklingshjälp				sammensatt substantiv av evtiedimmie + dåarjege	evtiedimmie-dåarjege, evtiedimmie-dåarjegasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 56	
elfenbene	elfenben	elfenben				substantiv	elfenbene, elfenbenese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 59	
frïjje juhtedh	fri flyt	fritt flyt		Globaliseringen gujmie beetnegh frïjje juhtieh.	Globalisering innebærer fri flyt av penger.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
globaliseringe	globalisering	globalisering				substantiv	globaliseringe, globaliseringasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
ektie-barkoe	samhandling, interaksjon	samverkan, interaktion				sammensatt substantiv av ektie + barkoe	ektie-barkoe, ektie-barkose	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
gaskesadteme-vuekie	kommunikasjonsform	kommunikationsform				sammensatt substantiv av gaskesadteme + vuekie	gaskesadteme-vuekie, gaskesadtemevuakan	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
låtnodh	utveksle	utväxla		Joekehtse gaskesadteme-vuekieh leah nuepiem vadteme maahtoem låtnodh.	Ulike kommunikasjonsformer har gitt muligheter til å utveksle kunnskap.	verb	låtnodh, lotne, lotni, lotneme	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
dåaroste slahtjan	krigsherjet	krigshärjat		Almetjh giefies jïh dåaroste slahtjan laantijste.	Folk fra fattige og krigsherjede land.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
vejtiestidh	hente inn	hämta in		Mijjieh maahtoeladtjh ålkoe-rïjhkese vejtiestimh.	Vi hentet inn utenlandske eksperter.	verb	vejtiestidh, vejteste, vejtiesti, vejtiestamme	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
mij daerpies	som trenges	som behövs		Aalkovistie Nöörje idtji teknologiske maahtoeh jallh dïrregh utni mij daerpies juktie åljam voelmestidh.	Norge hadde i starten verken teknologiske kunnskaper eller utstyr som trengtes for å pumpe opp olje.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
aalkovistie	i starten	i starten		Aalkovistie Nöörje idtji teknologiske maahtoeh jallh dïrregh utni mij daerpies juktie åljam voelmestidh.	Norge hadde i starten verken teknologiske kunnskaper eller utstyr som trengtes for å pumpe opp olje.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
jeeluve	kapital	kapital				substantiv	jeeluve, jeeluvasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 60	
bæjngolesbielie	karosse	kaross				sammensatt substantiv av bæjngolesbielie	bæjngolesbielie, bæjngolesbealan	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
gaengkere	dekk	däck				substantiv	gaengkere, gaenkerasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
luevhkeme-dåastove	støtfanger	stötfångare				sammensatt substantiv av luevhkeme av luevhkedh + dåastove	luevhkeme-dåastove, luevhkeme-dåastovasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
laake	lovgivning	lagstiftning			Det kan skyldes svak lovgivning.	substantiv	laake, laakese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
gilmetahke-våarhkoe	fryselager	fryslager				sammensatt substantiv av gilmetahke + våarhkoe	gilmetahke-våarhkoe, gilmetahke-våarhkose	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
njoeresovvedh	montere	montera		Mercedesem Tysklaantesne njoeresåvva.	En Mercedes blir montert i Tyskland.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
laaken vuestie maam-akth sueleden vaeltedh	smugle	smugla		Laaken vuestie almetjh jïh vaeknieh  sueleden vaeltedh.	Smugle mennesker og våpen.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
slööptjedh	filetere	filéa	sleeptjedh	Dah berkieh guelieh slööptjedh.	De jobber med å filetere fisken.	verb	slööptjedh, slööptjie, slööptji, slööptjeme	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 62	
reeredh	disponere	disponera		20 % veartenen veasoejijstie medtie 80 % veartenen dïenesjistie reerieh.	20 % av verdens befolkning disponerer ca. 80 % av verdens inntekter.	verb	reeredh, reerie, reeri, reereme	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 63	
jïeleme-åejvie	næringslivsleder	närigslivsledare				sammensatt substantiv av jïeleme + åejvie	jïeleme-åejvie, jïeleme-åajvan	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 63	
åejvie-sjïeken gaavhtan	hovedgrunn	huvudorsaken		Åejvie-sjïeken gaavhtan dah barkijh vaenie baalkah utnieh. 	Hovedgrunnen er at de ansatte tjener dålig.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 64	
vaarjoe-fabrihke	klesfabrikk	klädfabrik	vaarja-fabrihke			sammensatt substantiv av vaarjoe + fabrihke	vaarjoe-fabrihke, vaarjoe-fabrihkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 64	
baalhka-joekehtse	lønnsforskjell	löneskillnad				sammensatt substantiv av baalhka + joekehtse	baalhka-joekehtse, baalhka-jokehtsasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Sdie 64	
væjjohke -industrije	moteindustri	modeindustri				sammensatt substantiv av væjjohke + industrije	væjjohke-industrije, væjjohke-industrijese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 64	
bommulleindustrije	bomullsindustri	bomullsindustri				sammensatt substantiv av bommulle + industrije	bommulleindustrije, bommulleindustrijese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 64	
Mp3-spealere	Mp3-spiller	Mp3-spelare				sammensatt substantiv av mp3 + spealere	mp3-spealere, mp3-spealerasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 64	
jïemehks	risikofylt	riskfyllt		Dah jïemehks tsiehkine berkieh.	De arbeider under risikofylte forhold.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 65	
elektroniske-produsente	elektronikkprodusent	elektronikproducent				sammensatt substantiv av elektroniske + produsente	elektroniske-produsente, elektroniske-produsentese	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 65	
etiske tsïhkese	etisk krav	etiskt krav		Ij gie gænnah sæjhta nuepiem goerehtallemasse vedtedh mij etiske tsïhkesidie tsihkestehtieh.	Ingen vil gi innsyn i hvilke etiske krav som stilles.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 65	
goerehtalleme	innsyn	insyn		Ij gie gænnah sæjhta nuepiem goerehtallemasse vedtedh mij etiske tsïhkesidie tsihkestehtieh.	Ingen vil gi innsyn i hvilke etiske krav som stilles.	substantiv av goerehtalledh	goerehtalleme, goerehtallemasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 65	
veartenen-byögkeles	verdenskjent	världskänd		Veartenen-bygkeles dorjesh.	Verdenskjente produkter.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Hva skal vi med staten	Side 65	
vaarjoe-lååptoe	klesforbrukning	klädförbrukning	vaarja-lååptoe			sammensatt substantiv av vaarjoe + lååptoe	vaarjoe-lååptoe, vaarjoe-låptose	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 68	
vuelkeme-gåhka	reiselengde	reslängd				sammensatt substantiv av vuelkeme + gåhka	vuelkeme-gåhka, vuelkeme-gåhkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 68	
jieleme-siehkie	levekår	levnadsvillkor				sammensatt substantiv av jieleme + siehkie	jieleme-siehkie, jieleme-seahkan	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 68	
motovre	motor	motor				substantiv	motovre, motovrese	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 69	
juhteles-medtie	drivstoff	drivmedel				sammensatt substantiv av juhteles + medtie	juhteles-medtie, juhteles-madtan	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 69	
hamburgere	hamburger	hamburgare				substantiv	hamburgere, hamburgerasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 69	
paantje	innpakning	inpackning, emballage				substantiv	paantje, paantjese	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 69	
goerehtalleme	undersøkelse	undersökelse				substantiv av goerehtalledh	goerehtalleme, goerehtallemasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 69	
byjreske-vaahrege	miljøskadelig	miljöskadlig		Byjreske-vaahrege lååptoe.	Miljøskadelig forbruk.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 69	
beapmoe-sijjesne byöpmedidh	restaurant besøk	restaurangbesök		Beapmoesijjesne byöpmedidh vaaregåbpoe byjreskasse bijle-mïnnemistie. 	Restaurantbesøk er mindre skadelig for naturen enn en biltur.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 69	
dåajvoes	forventet	förväntad	dåajvas	Dåajvoes jieleme-aaltere.	Forventet levealder.	adjektiv av dåajvoe		Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 70	
lohkeme-maahtoe	lesekyndighet	läskunnighet				sammensatt substantiv av lohkeme + maahtoe	lohkeme-maahtoe, lohkeme-maahtose	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 70	
tjaeleme-maahtoe	skrivekyndighet	skrivkunnighet				sammensatt substantiv av tjaeleme + maahtoe	tjaeleme-maahtoe, tjaeleme-maahtose	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 70	
faaleme	tilgang	tillgång		Faaleme tjïelke tjaatsan.	Tilgang på rent vatten.	substantiv	faaleme, faalemasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 70	
internedte-nuhtjije	internettbruker	internetanvändare				sammensatt substantiv av internedte + nuhtjije	internedte-nuhtjije, internedte-nuhtjijasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Miljø og økonomi	Side 70	
